Book;Page;Unique Slug;Store;Name;Members;Description;SlugScript;"For Normal item -> SUBSTITUE(MINUSCULE(CONCATENER(A2;"" "";E2));"" "";""-"")
Sometimes it can happen to get two items with the same slug, just add ""-1""
For Weapon fusion we use -> SUBSTITUE(MINUSCULE(CONCATENER(A2;""-fusion-"";E2));"" "";""-"")
For Armor upgrade we use -> SUBSTITUE(MINUSCULE(CONCATENER(A2;""-armor-upgrade-"";E2));"" "";""-"")"
CR;199;cr-abadarcorp-travel-suit;Armor;AbadarCorp Travel Suit;Gold, Platinum, Silver;AbadarCorp executives popularized these light armor business suits for boardrooms and diplomatic meetings. Contingent force fields and concealed rebreathers protect the wearer in hostile environmental conditions. Higher grades of travel suits offer more protection—along with a designer label.;cr-abadarcorp-travel-suit;
CR;185;cr-acid-dart-rifle;Weapon;Acid Dart Rifle;Dual, Complex, Tactical;An acid dart rifle has a nonreactive polymer reservoir that can be filled with whatever acid the wielder desires. The automatic loading process fills the rifle darts with acid as they are moved into the chamber. Dual acid dart rifles fire two darts simultaneously, while complex acid dart rifles hold concentrated doses of acid.;cr-acid-dart-rifle;
CR;199;cr-aegis-series;Armor;Aegis Series;Elite, Specialist, Squad;Aegis suits of heavy armor cover wearers entirely, leading to the suits’ nickname of “personal tanks.” Helmet visors are narrow or nonexistent, instead projecting video and audio feeds to the wearer. Power-assisted limbs allow the wearer to move intuitively with the suit on.;cr-aegis-series;
CR;192;cr-fusion-anarchic;WeaponFusion;ANARCHIC;;The anarchic fusion imbues a weapon with divine energy from a chaotic deity. Any attacks with the weapon are chaotic-aligned. Damage from the weapon bypasses DR/chaotic and ignores the energy resistance of lawful dragons and lawful outsiders. The anarchic fusion can’t be added to weapons that have the axiomatic fusion.;cr-fusion-anarchic;
CR;192;cr-fusion-anchoring;WeaponFusion;ANCHORING;;A weapon with the anchoring fusion has a chance to immobilize its targets. The weapon gains immobilization as a critical hit effect. If the weapon already has a critical hit effect, choose each time whether to apply the weapon’s normal critical hit effect or the immobilization effect. A target affected by the immobilization critical hit effect is unable to move from its space under its own power for 1d4 rounds. It cannot use any form of movement, including teleportation effects, to change its position. If the target is entirely contained in a mobile object (such as a starship or large vehicle), the target is immobile relative to its location within that object. Other creatures and forces can move the target normally.;cr-fusion-anchoring;
CR;186;cr-arc-emitter;Weapon;Arc Emitter;Advanced, Tactical;Arc emitters discharge a cone of electrical energy that can damage and stun anyone within its area. Advanced arc emitters can be used at a longer range and are used by military forces to stun and subdue groups of enemies.;cr-arc-emitter;
CR;186;cr-arc-pistol;Weapon;Arc Pistol;Aurora, Static, Storm;Arc pistols fire deadly, stunning blasts of electricity at ranged targets. They have a two-pronged emitter that directs the electrical blast and a bulky chamber that holds the capacitor.;cr-arc-pistol;
CR;186;cr-arc-rifle;Weapon;Arc Rifle;Aurora, Static, Storm, Tempest;Arc rifles fire deadly electrical blasts and have a longer range than arc pistols. Like arc pistols, arc rifles can stun targets that are not killed outright by the electricity damage.;cr-arc-rifle;
CR;190;cr-arrows;BattleWare;Arrows;;Arrow shafts are made of carbon fiber–reinforced plastic and have metal or ceramic heads.;cr-arrows;
CR;184;cr-artillery-laser;Weapon;Artillery Laser;Aphelion, Azimuth, Corona, Parallax, Perihelion, Zenith;Artillery lasers are heavy weapons designed to be effective against hardened targets such as vehicles and enemy bunkers.;cr-artillery-laser;
CR;184;cr-autobeam-artillery;Weapon;Autobeam Artillery;Advanced, Elite, Tactical;Though it lacks the penetrating power of an artillery laser, an autobeam artillery delivers sustained laser fire. It uses a rotating array of lenses to prevent the intense heat of sustained fire from melting the weapon’s housing.;cr-autobeam-artillery;
CR;184;cr-autobeam-rifle;Weapon;Autobeam Rifle;Advanced, Elite, Tactical;Autobeam rifles can fire in automatic mode, spraying a cone of lasers from the barrel.;cr-autobeam-rifle;
CR;185;cr-autotarget-rifle;Weapon;Autotarget Rifle;;An automatic model of the basic rifle, autotarget rifles fire continuously for as long as the trigger is depressed and fresh rounds are available in the magazine.;cr-autotarget-rifle;
CR;192;cr-fusion-axiomatic;WeaponFusion;AXIOMATIC;;The axiomatic fusion imbues a weapon with divine energy from a lawful deity. Any attacks with the weapon are lawful-aligned. Damage from the weapon bypasses DR/lawful and ignores the energy resistance of chaotic dragons and chaotic outsiders. The axiomatic fusion can’t be added to weapons that have the anarchic fusion.;cr-fusion-axiomatic;
