Book;Page;ARMOR MODEL;LEVEL;PRICE;EAC BONUS;KAC BONUS;MAXIMUM DEX BONUS;ARMOR CHECK PENALTY;SPEED ADJUSTMENT;UPGRADE SLOTS;BULK;TechType;FamilyDescriptionSlug
CR;198;Aegis series, elite;17;209000;23;27;3;–5;–10 ft.;6;3;technology;cr-aegis-series
CR;198;Aegis series, specialist;20;932000;25;28;4;–4;–10 ft.;7;3;technology;cr-aegis-series
CR;198;Aegis series, squad;12;45200;17;19;3;–5;–10 ft.;5;3;technology;cr-aegis-series
CR;198;Ceremonial plate, commander;7;7350;10;12;2;–3;–10 ft.;5;3;technology;cr-ceremonial-plate
CR;197;Ceremonial plate, officer;4;2275;6;8;2;–2;–5 ft.;1;2;technology;cr-ceremonial-plate
CR;197;Ceremonial plate, troop;1;110;1;3;2;–3;–10 ft.;3;3;technology;cr-ceremonial-plate
CR;198;Defiance series, elite;7;6300;10;13;2;–4;–10 ft.;2;3;technology;cr-defiance-series
CR;198;Defiance series, specialist;10;16950;15;18;2;–4;–10 ft.;3;3;technology;cr-defiance-series
CR;197;Defiance series, squad;3;1220;5;8;1;–4;–10 ft.;1;3;technology;cr-defiance-series
CR;198;Enginerunner;15;120900;21;22;4;—;—;5;2;technology;cr-enginerunner
CR;197;Golemforged plating I;1;250;2;5;0;–3;–10 ft.;0;3;technology;cr-golemforged-plating
CR;197;Golemforged plating II;3;1610;5;7;2;–2;–10 ft.;1;3;technology;cr-golemforged-plating
CR;198;Golemforged plating III;7;5500;10;12;3;–2;–5 ft.;2;2;technology;cr-golemforged-plating
CR;198;Golemforged plating IV;11;24800;15;17;3;–3;–10 ft.;6;3;technology;cr-golemforged-plating
CR;198;Golemforged plating V;14;63750;18;20;4;–3;–10 ft.;7;3;technology;cr-golemforged-plating
CR;197;Hidden soldier armor;2;465;3;5;2;–2;–5 ft.;1;2;technology;cr-hidden-soldier-armor
CR;198;Iridishell, advanced;9;13100;13;15;3;—;—;3;2;technology;cr-iridishell
CR;197;Iridishell, basic;2;755;3;6;2;–2;–5 ft.;0;2;technology;cr-iridishell
CR;198;Iridishell, superior;12;42250;17;18;4;—;—;4;2;technology;cr-iridishell
CR;197;Lashunta ringwear I;1;415;2;4;2;–2;–5 ft.;0;2;technology;cr-lashunta-ringwear
CR;198;Lashunta ringwear II;5;2970;8;10;2;–2;–5 ft.;1;2;technology;cr-lashunta-ringwear
CR;198;Lashunta ringwear III;8;8420;12;14;3;–2;–5 ft.;3;2;technology;cr-lashunta-ringwear
CR;198;Lashunta ringwear IV;11;27100;16;18;4;–3;–5 ft.;4;2;technology;cr-lashunta-ringwear
CR;198;Lashunta ringwear V;15;94200;20;22;4;–2;–5 ft.;5;2;technology;cr-lashunta-ringwear
CR;198;Skyfire armor, exident;13;53600;18;20;4;–2;–5 ft.;5;2;technology;cr-skyfire-armor
CR;198;Skyfire armor, pinion;9;14200;14;16;3;–2;–5 ft.;4;2;technology;cr-skyfire-armor
CR;198;Steelbones;16;145500;21;23;4;–3;–5 ft.;6;2;technology;cr-steelbones
CR;197;Thinplate;2;1000;4;6;2;–3;–10 ft.;1;3;technology;cr-thinplate
CR;198;Vesk monolith I;12;39650;16;18;4;–2;–5 ft.;5;2;technology;cr-vesk-monolith
CR;198;Vesk monolith II;16;163400;22;24;4;–3;–5 ft.;6;2;technology;cr-vesk-monolith
CR;198;Vesk monolith III;20;827250;26;27;5;–2;–5 ft.;7;2;technology;cr-vesk-monolith
CR;198;Vesk overplate I;6;3910;9;11;3;–2;–5 ft.;1;2;technology;cr-vesk-overplate
CR;198;Vesk overplate II;8;10250;13;15;2;–3;–10 ft.;3;3;technology;cr-vesk-overplate
CR;198;Vesk overplate III;11;23400;16;18;3;–2;–5 ft.;4;2;technology;cr-vesk-overplate
CR;198;Vesk overplate IV;14;71850;19;21;4;–2;–5 ft.;5;2;technology;cr-vesk-overplate
CR;198;Vesk overplate V;18;415800;24;26;4;–3;–5 ft.;7;2;technology;cr-vesk-overplate
CR;198;Vitrum plate;18;365650;23;24;5;—;—;4;1;technology;cr-vitrum-plate
CR;198;Voidshield armor;19;610250;25;26;5;–3;–5 ft.;7;2;technology;cr-voidshield-armor
AR;69;Dendron armor, ash;4;2100;5;8;3;–2;–5 ft.;0;2;technology;ar-dendron-armor
AR;69;Dendron armor, oak;10;18450;14;17;3;–2;–5 ft.;2;2;technology;ar-dendron-armor
AR;69;Dendron armor, sequoia;17;256500;23;25;4;–2;–5 ft.;5;2;technology;ar-dendron-armor
AR;69;Dendron armor, yew;7;6600;10;13;3;–2;–5 ft.;1;2;technology;ar-dendron-armor
AR;69;Enforcer armor I;5;3100;9;10;2;–4;–10 ft.;2;3;technology;ar-enforcer-armor
AR;69;Enforcer armor II;11;23725;17;19;2;–4;–10 ft.;4;3;technology;ar-enforcer-armor
AR;69;Enforcer armor III;15;101150;21;23;3;–3;–10 ft.;5;3;technology;ar-enforcer-armor
AR;69;Inheritor’s grace I;6;4450;9;10;3;–2;–5 ft.;2;2;technology;ar-inheritor’s-grace
AR;69;Inheritor’s grace II;14;67400;20;21;3;–2;–5 ft.;5;2;technology;ar-inheritor’s-grace
AR;69;Inheritor’s grace III;19;591000;25;27;4;–2;–5 ft.;7;2;technology;ar-inheritor’s-grace
AR;69;Kalo encounter suit I;4;1980;7;8;2;–3;–10 ft.;1;3;technology;ar-kalo-encounter-suit
AR;69;Kalo encounter suit II;9;12900;15;16;2;–3;–10 ft.;3;3;technology;ar-kalo-encounter-suit
AR;69;Kalo encounter suit III;13;48500;20;21;3;–3;–10 ft.;4;3;technology;ar-kalo-encounter-suit
AR;69;Kalo encounter suit IV;18;360000;25;26;4;–3;–10 ft.;6;3;technology;ar-kalo-encounter-suit
AR;69;Mining jack I;2;825;4;6;1;–3;–10 ft.;1;3;technology;ar-mining-jack
AR;69;Mining jack II;5;2750;8;11;1;–3;–10 ft.;2;3;technology;ar-mining-jack
AR;69;Mining jack III;10;17150;15;19;1;–3;–10 ft.;3;3;technology;ar-mining-jack
AR;69;Night plate I;8;9400;11;13;4;–2;–5 ft.;2;2;technology;ar-night-plate
AR;69;Night plate II;12;37500;15;17;5;–2;–5 ft.;4;2;technology;ar-night-plate
AR;69;Night plate III;16;177300;21;24;5;–1;–5 ft.;4;2;technology;ar-night-plate
AR;69;Night plate IV;20;886500;25;26;6;—;—;6;2;technology;ar-night-plate
AR;69;Reinforced EVA suit I;1;200;1;4;1;–3;–5 ft.;1;2;technology;ar-reinforced-eva-suit
AR;69;Reinforced EVA suit II;3;1300;4;8;1;–3;–5 ft.;1;3;technology;ar-reinforced-eva-suit
AR;69;Reinforced EVA suit III;6;4060;8;12;2;–3;–10 ft.;2;3;technology;ar-reinforced-eva-suit
