Book;Page;HandNeeded;SubCategory;Name;Level;Price;Damage;Range;Critical;Capacity;Usage;Bulk;Special;TechType;FamilyDescriptionSlug
CR;177;2;LASER;Artillery laser, aphelion;9;14300;3d8 F;120 ft.;Burn 1d6;40 charges;4;3;Penetrating;technology;cr-artillery-laser
CR;177;2;LASER;Artillery laser, azimuth;1;425;1d10 F;120 ft.;Burn 1d6;20 charges;2;3;Penetrating;technology;cr-artillery-laser
CR;177;2;LASER;Artillery laser, corona;6;4650;2d8 F;120 ft.;Burn 1d6;40 charges;4;3;Penetrating;technology;cr-artillery-laser
CR;177;2;LASER;Artillery laser, parallax;17;248000;7d8 F;150 ft.;Burn 4d6;100 charges;5;3;Penetrating;technology;cr-artillery-laser
CR;177;2;LASER;Artillery laser, perihelion;13;53800;4d8 F;130 ft.;Burn 2d6;100 charges;5;3;Penetrating;technology;cr-artillery-laser
CR;177;2;LASER;Artillery laser, zenith;20;722000;9d8 F;150 ft.;Burn 5d6;100 charges;5;3;Penetrating;technology;cr-artillery-laser
CR;177;2;LASER;Autobeam artillery, advanced;16;145700;4d8 F;120 ft.;Burn 2d8;40 charges;1;2;Automatic;technology;cr-autobeam-artillery
CR;177;2;LASER;Autobeam artillery, elite;19;543300;6d8 F;120 ft.;Burn 2d10;40 charges;1;2;Automatic;technology;cr-autobeam-artillery
CR;177;2;LASER;Autobeam artillery, tactical;10;19400;2d8 F;120 ft.;Burn 1d8;40 charges;1;2;Automatic;technology;cr-autobeam-artillery
CR;177;2;PROJECTILE;Crossbolter, advanced;11;21900;4d10 P;70 ft.;—;12 arrows;4;2;Unwieldy;technology;cr-crossbolter
CR;177;2;PROJECTILE;Crossbolter, elite;14;71400;6d10 P;60 ft.;—;30 arrows;6;2;Unwieldy;technology;cr-crossbolter
CR;178;2;PROJECTILE;Crossbolter, paragon;18;327200;10d10 P;60 ft.;—;40 arrows;8;2;Unwieldy;technology;cr-crossbolter
CR;177;2;FLAME;Flamethrower, firedrake-class;15;128000;6d6 F;30 ft.;Burn 6d6;40 petrol;10;2;Analog, blast, unwieldy;technology;cr-flamethrower
CR;177;2;FLAME;Flamethrower, hellhound-class;12;35100;4d6 F;30 ft.;Burn 4d6;40 petrol;8;2;Analog, blast, unwieldy;technology;cr-flamethrower
CR;177;2;FLAME;Flamethrower, ifrit-class;2;780;1d6 F;15 ft.;Burn 1d6;20 petrol;4;2;Analog, blast, unwieldy;technology;cr-flamethrower
CR;177;2;FLAME;Flamethrower, phoenix-class;18;367500;9d6 F;30 ft.;Burn 9d6;40 petrol;10;2;Analog, blast, unwieldy;technology;cr-flamethrower
CR;177;2;FLAME;Flamethrower, salamander-class;8;8600;2d6 F;30 ft.;Burn 2d6;20 petrol;5;2;Analog, blast, unwieldy;technology;cr-flamethrower
CR;178;2;UNCATEGORIZED;IMDS missile launcher;10;18200;—;80 ft.;—;1 missile;1;2;—;technology;cr-imds-missile-launcher
CR;177;2;PROJECTILE;Machine gun, heavy;17;220300;7d10 P;120 ft.;—;100 rounds;4;2;Analog, automatic;technology;cr-machine-gun
CR;177;2;PROJECTILE;Machine gun, light;8;8600;2d10 P;60 ft.;—;60 rounds;2;2;Analog, automatic;technology;cr-machine-gun
CR;177;2;PROJECTILE;Machine gun, medium;11;23100;3d10 P;60 ft.;—;60 rounds;2;2;Analog, automatic;technology;cr-machine-gun
