Book;Page;HandNeeded;SubCategory;Name;Level;Price;Damage;Range;Critical;Capacity;Usage;Bulk;Special;TechType;FamilyDescriptionSlug
CR;176;2;PROJECTILE;Acid dart rifle, complex;12;39200;4d8 A & P;90 ft.;Corrode 4d4;48 darts;4;2;Analog;technology;cr-acid-dart-rifle
CR;176;2;PROJECTILE;Acid dart rifle, dual;7;6900;2d8 A & P;90 ft.;Corrode 2d4;24 darts;2;1;Analog;technology;cr-acid-dart-rifle
CR;176;2;PROJECTILE;Acid dart rifle, tactical;2;485;1d8 A & P;80 ft.;Corrode 1d4;10 darts;1;1;Analog;technology;cr-acid-dart-rifle
CR;176;2;SHOCK;Arc emitter, advanced;9;13200;2d4 E;30 ft.;—;40 charges;10;1;Blast, stun, unwieldy;technology;cr-arc-emitter
CR;176;2;SHOCK;Arc emitter, tactical;2;750;1d4 E;15 ft.;—;20 charges;4;1;Blast, stun, unwieldy;technology;cr-arc-emitter
CR;176;2;SHOCK;Arc rifle, aurora;11;24500;2d12 E;70 ft.;Arc 2d6;40 charges;1;2;Stun;technology;cr-arc-rifle
CR;176;2;SHOCK;Arc rifle, static;6;4200;1d12 E;70 ft.;Arc 1d6;40 charges;1;2;Stun;technology;cr-arc-rifle
CR;177;2;SHOCK;Arc rifle, storm;16;190300;4d12 E;80 ft.;Arc 4d6;80 charges;2;2;Stun;technology;cr-arc-rifle
CR;177;2;SHOCK;Arc rifle, tempest;19;622000;6d12 E;80 ft.;Arc 6d6;100 charges;2;2;Stun;technology;cr-arc-rifle
CR;176;2;LASER;Autobeam rifle, advanced;15;95500;7d4 F;60 ft.;Burn 3d4;100 charges;10;2;Automatic;technology;cr-autobeam-rifle
CR;176;2;LASER;Autobeam rifle, elite;19;548100;12d4 F;60 ft.;Burn 5d4;100 charges;5;2;Automatic;technology;cr-autobeam-rifle
CR;176;2;LASER;Autobeam rifle, tactical;11;26900;5d4 F;60 ft.;Burn 2d4;40 charges;4;2;Automatic;technology;cr-autobeam-rifle
CR;176;2;PROJECTILE;Autotarget rifle;2;755;1d6 P;60 ft.;—;10 rounds;1;2;Analog, automatic;technology;cr-autotarget-rifle
CR;176;2;PROJECTILE;Combat rifle;10;16500;3d8 P;90 ft.;—;12 rounds;1;1;Analog;technology;cr-combat-rifle
CR;176;2;PROJECTILE;Crossbolter, dual;8;8250;2d10 P;70 ft.;—;4 arrows;2;2;Unwieldy;technology;cr-crossbolter
CR;176;2;PROJECTILE;Crossbolter, tactical;2;475;1d10 P;70 ft.;—;1 arrow;1;2;Unwieldy;technology;cr-crossbolter
CR;176;2;FLAME;Flame rifle ;2;490;1d6 F;25 ft.;Burn 1d6;20 petrol;5;1;Line, unwieldy;technology;cr-flame-rifle
CR;176;2;PROJECTILE;Gyrojet rifle, advanced;15;122800;5d12 B;120 ft.;Knockdown;12 mini-rockets;1;2;Analog;technology;cr-gyrojet-rifle
CR;176;2;PROJECTILE;Gyrojet rifle, elite;17;245600;6d12 B;120 ft.;Knockdown;12 mini-rockets;1;2;Analog;technology;cr-gyrojet-rifle
CR;176;2;PROJECTILE;Gyrojet rifle, paragon;20;723500;8d12 B;120 ft.;Knockdown;12 mini-rockets;1;2;Analog;technology;cr-gyrojet-rifle
CR;176;2;PROJECTILE;Gyrojet rifle, tactical;13;54000;3d12 B;100 ft.;Knockdown;12 mini-rockets;1;2;Analog;technology;cr-gyrojet-rifle
CR;176;2;PROJECTILE;Hunting rifle;1;240;1d8 P;90 ft.;—;6 rounds;1;1;Analog;technology;cr-hunting-rifle
CR;176;2;LASER;Laser rifle, aphelion;9;14300;3d6 F;120 ft.;Burn 1d6;40 charges;1;1;—;technology;cr-laser-rifle
CR;176;2;LASER;Laser rifle, azimuth;1;425;1d8 F;120 ft.;Burn 1d6;20 charges;1;1;—;technology;cr-laser-rifle
CR;176;2;LASER;Laser rifle, corona;6;4650;2d6 F;120 ft.;Burn 1d6;40 charges;1;1;—;technology;cr-laser-rifle
CR;176;2;LASER;Laser rifle, parallax;17;248000;8d6 F;150 ft.;Burn 4d6;100 charges;2;1;—;technology;cr-laser-rifle
CR;176;2;LASER;Laser rifle, perihelion;13;53800;5d6 F;130 ft.;Burn 2d6;100 charges;2;1;—;technology;cr-laser-rifle
CR;176;2;LASER;Laser rifle, zenith;20;722000;11d6 F;150 ft.;Burn 5d6;100 charges;2;1;—;technology;cr-laser-rifle
CR;176;2;PROJECTILE;Magnetar rifle, advanced;13;53700;4d8 P;60 ft.;—;24 rounds;1;2;Analog, automatic;technology;cr-magnetar-rifle
CR;176;2;PROJECTILE;Magnetar rifle, elite;16;185100;6d8 P;120 ft.;—;36 rounds;1;2;Analog, automatic;technology;cr-magnetar-rifle
CR;176;2;PROJECTILE;Magnetar rifle, paragon;19;612600;8d8 P;120 ft.;—;48 rounds;1;2;Analog, automatic;technology;cr-magnetar-rifle
CR;176;2;PROJECTILE;Magnetar rifle, tactical;9;11800;2d8 P;60 ft.;—;18 rounds;1;2;Analog, automatic;technology;cr-magnetar-rifle
CR;177;2;UNCATEGORIZED;Needler rifle;1;110;1d6 P;60 ft.;Injection DC +2;12 darts;1;1;Analog, injection;technology;cr-needler-rifle
CR;176;2;PLASMA;Plasma caster, blue star;17;275000;5d10 E & F;80 ft.;Burn 2d10;200 charges;10;2;Boost 2d10;technology;cr-plasma-caster
CR;176;2;PLASMA;Plasma caster, white star;13;49100;3d10 E & F;80 ft.;Burn 1d10;100 charges;5;2;Boost 1d10;technology;cr-plasma-caster
CR;176;2;PLASMA;Plasma rifle, blue star;20;935000;8d10 E & F;100 ft.;Burn 4d8;100 charges;10;2;Line, unwieldy;technology;cr-plasma-rifle
CR;176;2;PLASMA;Plasma rifle, red star;6;4600;1d10 E & F;40 ft.;Burn 1d4;40 charges;4;2;Line, unwieldy;technology;cr-plasma-rifle
CR;176;2;PLASMA;Plasma rifle, white star;15;126600;4d10 E & F;60 ft.;Burn 2d8;40 charges;4;2;Line, unwieldy;technology;cr-plasma-rifle
CR;176;2;PLASMA;Plasma rifle, yellow star;10;16800;2d10 E & F;40 ft.;Burn 1d8;40 charges;4;2;Line, unwieldy;technology;cr-plasma-rifle
CR;176;2;SHOCK;Pulsecaster rifle;1;100;1d6 E;50 ft.;—;40 charges;2;1;Nonlethal;technology;cr-pulsecaster-rifle
CR;176;2;PROJECTILE;Scattergun, grapeshot;18;331000;4d12 P;30 ft.;—;12 shells;1;2;Analog, blast;technology;cr-scattergun
CR;176;2;PROJECTILE;Scattergun, impact;12;30400;2d12 P;15 ft.;—;12 shells;1;2;Analog, blast;technology;cr-scattergun
CR;176;2;PROJECTILE;Scattergun, snub;8;8300;1d12 P;15 ft.;—;8 shells;1;1;Analog, blast;technology;cr-scattergun
CR;176;2;PROJECTILE;Scattergun, utility;1;235;1d4 P;15 ft.;—;4 shells;1;1;Analog, blast;technology;cr-scattergun
CR;176;2;PROJECTILE;Scattergun, vortex;15;91900;3d12 P;30 ft.;—;12 shells;1;2;Analog, blast;technology;cr-scattergun
CR;176;2;PROJECTILE;Seeker rifle, advanced;14;72300;6d8 P;100 ft.;—;18 rounds;1;1;Analog;technology;cr-seeker-rifle
CR;176;2;PROJECTILE;Seeker rifle, elite;17;242500;9d8 P;100 ft.;—;18 rounds;1;1;Analog;technology;cr-seeker-rifle
CR;176;2;PROJECTILE;Seeker rifle, paragon;20;809200;12d8 P;100 ft.;—;24 rounds;1;1;Analog;technology;cr-seeker-rifle
CR;176;2;PROJECTILE;Seeker rifle, tactical;7;6030;2d8 P;100 ft.;—;8 rounds;1;1;Analog;technology;cr-seeker-rifle
CR;177;2;SONIC;Sonic rifle, banshee;18;364500;6d10 So;50 ft.;Deafen;100 charges;5;2;—;technology;cr-sonic-rifle
CR;177;2;SONIC;Sonic rifle, HFD;14;80200;4d10 So;50 ft.;Deafen;80 charges;4;2;—;technology;cr-sonic-rifle
CR;177;2;SONIC;Sonic rifle, LFD;10;17000;2d10 So;50 ft.;Deafen;40 charges;2;2;—;technology;cr-sonic-rifle
CR;177;2;SONIC;Sonic rifle, thunderstrike;5;3400;1d10 So;50 ft.;Deafen;40 charges;2;1;—;technology;cr-sonic-rifle
CR;177;2;SONIC;Streetsweeper, HFD;16;195000;5d10 So;50 ft.;Knockdown;40 charges;5;2;Boost 1d10;technology;cr-streetsweeper
CR;177;2;SONIC;Streetsweeper, LFD;12;39300;3d10 So;50 ft.;Knockdown;40 charges;5;2;Boost 1d8;technology;cr-streetsweeper
CR;177;2;SONIC;Streetsweeper, thunderstrike;7;7150;1d10 So;50 ft.;Knockdown;40 charges;5;2;Boost 1d6;technology;cr-streetsweeper
CR;176;2;CRYO;Zero rifle, avalanche-class;18;410200;7d8 C;60 ft.;Staggered;100 charges;5;2;—;technology;cr-zero-rifle
CR;176;2;CRYO;Zero rifle, blizzard-class;14;79800;4d8 C;60 ft.;Staggered;80 charges;4;2;—;technology;cr-zero-rifle
CR;176;2;CRYO;Zero rifle, frostbite-class;4;2330;1d8 C;60 ft.;Staggered;40 charges;2;1;—;technology;cr-zero-rifle
CR;176;2;CRYO;Zero rifle, hailstorm-class;8;10100;2d8 C;60 ft.;Staggered;40 charges;2;2;—;technology;cr-zero-rifle
AR;17;2;FLAME;Blaze rifle, firedrake-class;16;153000;5d10 F;60 ft.;Burn 4d6;40 petrol;2;1;Analog, unwieldy;technology;ar-blaze-rifle
AR;17;2;FLAME;Blaze rifle, hellhound-class;11;23200;3d10 F;60 ft.;Burn 3d6;40 petrol;2;1;Analog, unwieldy;technology;ar-blaze-rifle
AR;17;2;FLAME;Blaze rifle, ifrit-class;4;1900;1d10 F;40 ft.;Burn 1d6;40 petrol;2;1;Analog, unwieldy;technology;ar-blaze-rifle
AR;17;2;FLAME;Blaze rifle, phoenix-class;20;765000;9d10 F;80 ft.;Burn 5d6;40 petrol;2;1;Analog, unwieldy;technology;ar-blaze-rifle
AR;17;2;FLAME;Blaze rifle, salamander-class;7;5800;2d8 F;60 ft.;Burn 2d6;40 petrol;2;1;Analog, unwieldy;technology;ar-blaze-rifle
AR;21;2;SONIC;Blindmark rifle, banshee;19;585000;8d8 So;120 ft.;Sicken;80 charges;10;1;Echo, stun;technology;ar-blindmark-rifle
AR;21;2;SONIC;Blindmark rifle, HFD;13;51000;4d8 So;100 ft.;Sicken;40 charges;8;1;Echo, stun;technology;ar-blindmark-rifle
AR;21;2;SONIC;Blindmark rifle, LFD;8;9800;2d8 So;80 ft.;—;40 charges;5;1;Echo, stun;technology;ar-blindmark-rifle
AR;20;2;SONIC;Blindmark rifle, thunderstrike;3;1400;2d4 So;60 ft.;—;20 charges;2;1;Echo, stun;technology;ar-blindmark-rifle
