Book;Page;HandNeeded;SubCategory;Name;Level;Price;Damage;Range;Critical;Capacity;Usage;Bulk;Special;TechType;FamilyDescriptionSlug
CR;173;1;SHOCK;Arc pistol, aurora;13;45700;3d6 E;50 ft.;Arc 2d6;40 charges;2;L;Stun;technology;cr-arc-pistol
CR;173;1;SHOCK;Arc pistol, static;2;750;1d6 E;50 ft.;Arc 2;20 charges;2;L;Stun;technology;cr-arc-pistol
CR;173;1;SHOCK;Arc pistol, storm;18;365500;3d12 E;50 ft.;Arc 4d6;100 charges;10;L;Stun;technology;cr-arc-pistol
CR;173;1;FLAME;Flame pistol;2;470;1d4 F;20 ft.;Burn 1d4;20 petrol;4;L;Line, unwieldy;technology;cr-flame-pistol
CR;173;1;FLAME;Flare gun, survival;1;90;1d3 F;30 ft.;Burn 1d6;1 flare;1;L;Analog, bright;technology;cr-flare-gun-survival
CR;173;1;PROJECTILE;Gyrojet pistol, advanced;17;212700;4d12 B;80 ft.;Knockdown;8 mini-rockets;1;L;Analog;technology;cr-gyrojet-pistol
CR;173;1;PROJECTILE;Gyrojet pistol, elite;20;715800;5d12 B;80 ft.;Knockdown;8 mini-rockets;1;L;Analog;technology;cr-gyrojet-pistol
CR;173;1;PROJECTILE;Gyrojet pistol, tactical;15;91500;3d12 B;80 ft.;Knockdown;8 mini-rockets;1;L;Analog;technology;cr-gyrojet-pistol
CR;173;1;LASER;Laser pistol, aphelion;9;14820;3d4 F;90 ft.;Burn 1d4;40 charges;2;L;Boost 1d4;technology;cr-laser-pistol
CR;173;1;LASER;Laser pistol, azimuth;1;350;1d4 F;80 ft.;Burn 1d4;20 charges;1;L;—;technology;cr-laser-pistol
CR;173;1;LASER;Laser pistol, corona;6;4270;2d4 F;90 ft.;Burn 1d4;20 charges;1;L;—;technology;cr-laser-pistol
CR;173;1;LASER;Laser pistol, parallax;14;82000;5d4 F;90 ft.;Burn 3d4;80 charges;4;L;Boost 2d4;technology;cr-laser-pistol
CR;173;1;LASER;Laser pistol, perihelion;12;40200;4d4 F;90 ft.;Burn 2d4;40 charges;2;L;—;technology;cr-laser-pistol
CR;173;1;LASER;Laser pistol, zenith;17;245200;8d4 F;100 ft.;Burn 4d4;80 charges;4;L;—;technology;cr-laser-pistol
CR;173;1;UNCATEGORIZED;Needler pistol;1;105;1d4 P;30 ft.;Injection DC +2;6 darts;1;L;Analog, injection;technology;cr-needler-pistol
CR;173;1;PLASMA;Plasma pistol, blue star;19;565000;5d8 E & F;40 ft.;Burn 3d8;100 charges;20;L;Line, unwieldy;technology;cr-plasma-pistol
CR;173;1;PLASMA;Plasma pistol, red star;7;7200;1d8 E & F;20 ft.;Burn 1d8;20 charges;4;L;Line, unwieldy;technology;cr-plasma-pistol
CR;173;1;PLASMA;Plasma pistol, white star;15;107500;3d8 E & F;30 ft.;Burn 2d8;100 charges;20;L;Line, unwieldy;technology;cr-plasma-pistol
CR;173;1;PLASMA;Plasma pistol, yellow star;12;40300;2d8 E & F;25 ft.;Burn 1d8;40 charges;8;L;Line, unwieldy;technology;cr-plasma-pistol
CR;173;1;SHOCK;Pulsecaster pistol;1;250;1d4 E;30 ft.;—;20 charges;1;L;Nonlethal;technology;cr-pulsecaster-pistol
CR;173;1;PROJECTILE;Semi-auto pistol, advanced;7;5500;2d6 P;60 ft.;—;12 rounds;1;L;Analog;technology;cr-semi-auto-pistol
CR;173;1;PROJECTILE;Semi-auto pistol, elite;10;18200;3d6 P;60 ft.;—;12 rounds;1;L;Analog;technology;cr-semi-auto-pistol
CR;173;1;PROJECTILE;Semi-auto pistol, paragon;13;45200;4d6 P;60 ft.;—;16 rounds;1;L;Analog;technology;cr-semi-auto-pistol
