Name;Discriminator Name;Description
Ammunitions;Ammunition;"Weapons often employ electrical charges (typically stored in batteries), cartridges of ammunition, or individual missiles.
</br> A weapon’s capacity measures what size battery it uses or the number of cartridges it can hold, and its usage is how much ammunition it uses with each attack.
</br> You can use launchers to fire their corresponding missiles, which must be loaded individually.
</br> Reloading a weapon or inserting a new battery (including ejecting a spent cartridge or battery if necessary) takes a move action.
</br>
Weapons that use standard ammunition (arrows, charges, darts, mini-rockets, petrol, rounds, scattergun shells, etc.) are sold preloaded.
</br> For weapons with other forms of ammunition (such as grenades), ammunition must be purchased separately.
</br>
<h6>Cartridges</h6>
This type of ammunition includes bullets (often called rounds or shells), bolts, darts, mini-rockets, pellets, and other physical projectiles with any necessary casing and propellant.
</br> Cartridges are typically either contained in a multi-cartridge magazine or loaded into the weapon individually; a weapon is assumed to come with enough magazines that you can load spare ones for reloading the weapon in battle.
</br> If you buy more cartridges than can be held in a single magazine of your weapon, the purchase includes additional magazines of the same capacity, up to the number needed to fit all your cartridges into magazines.
</br> The same rules apply to petrol for flame weapons.
</br>
Rounds are standardized by weapon type.
</br> For example, small arms all use the same size of round, but you can’t use a small arm round in a longarm.
</br> Most projectile weapons fire one cartridge per attack unless they have special firing modes that shoot multiple cartridges in a short time.
</br>
<h6>Charges</h6>
This ammunition powers energy or projectile weapons using charges stored in batteries.
</br> Since each energy weapon varies in intensity, stronger weapons use up more charges per shot.
</br> You can restore a weapon’s charges by attaching it to a generator or a recharging station (see Professional Services on page 234) and thereby recharging its battery, or by swapping out its battery for another fully charged battery.
</br>
Recharging a weapon’s battery from a generator takes 1 minute per charge restored, and using a recharging station takes 1 round per charge, but swapping out a battery takes only a move action.
</br> Most batteries can hold 20 charges, but some high-capacity versions made of rare materials can hold more (see Table 7–9: Ammunition).
</br>
A weapon’s battery cannot be recharged to hold more charges than its capacity.
</br> A weapon that holds a high-capacity battery still works when a lower-capacity battery is inserted into it, but if a battery has fewer charges remaining than the minimum number required to fire a shot, the weapon doesn’t fire.
</br>
In addition to weapons, batteries can be used to power a wide array of items, including powered armor and technological items.
</br>
<h6>Missiles</h6>
This special ammunition is loaded and fired one at a time, and it includes arrows and explosive rounds fired from launchers.
</br> Some weapons that fire missiles have the quick reload special property (see page 182), allowing you to draw the ammunition and fire it as part of your attack or attacks.
</br> Attacks with missile weapons often have the explode special property (see page 181).
</br>"
Basic Melee Weapons;BasicMeleeWeapon;"Any handheld weapon that must touch a target to deal damage is considered a melee weapon.
</br> Basic melee weapons can be easily used by almost anyone and generally require no special training.
</br> While basic melee weapons deal less damage than more sophisticated weapons of the same item level, they have the advantage of not usually requiring power sources and operating under almost any conditions.
</br> Basic melee weapons are divided into one-handed and two-handed weapons, as shown on Table 7–1.
</br>"
Advanced Melee Weapons;AdvancedMeleeWeapon;"Any handheld weapon that must touch a target to damage it is considered a melee weapon.
</br> Advanced melee weapons require a degree of training and skill to use properly.
</br> Advanced melee weapons are divided into one-handed and two-handed weapons, as shown on Table 7–2.
</br>"
Small Arms;SmallArm;"Small arms are handheld ranged weapons that can be held and operated with one hand.
</br> Various pistols are the most common type, though many types of small arms exist.
</br> Small arms require a battery or ammunition of the proper size and type to function, as shown on Table 7–3.
</br>"
Longarms;Longarm;"Longarms are handheld, long-ranged weapons that must be held and operated with two hands.
</br> Various rifles are the most common type, though many types of longarms exist.
</br> Some longarms support automatic fire as well.
</br> Longarms require a battery or ammunition of the proper size and type to function, as shown on Table 7–4.
</br>"
Heavy Weapons;HeavyWeapon;"Heavy weapons are military-grade, high-damage weapons that require specialized training to use.
</br> Heavy weapons are difficult to hold steadily and aim accurately, and they thus require a minimum Strength score to use to their full potential.
</br> Heavy weapons must be held and operated with two hands, and they require a battery or ammunition of the proper size and type to function, as shown on Table 7–5.
</br> <h6>Minimum Strength: </h6>
The minimum Strength score is 12 for 1st- through 10th-level heavy weapons and 14 for 11th- level and higher heavy weapons.
</br> A character using a heavy weapon without the appropriate minimum Strength takes a –2 penalty to attack rolls with that weapon.
</br>
"
Sniper Weapons;SniperWeapon;"Sniper weapons are handheld, long-ranged weapons that must be held and operated with two hands.
</br> They are similar to long arms, but they are designed to emphasize range and accuracy, even if this requires some sacrifice in damage potential.
</br> Sniper weapons require a battery or ammunition of the proper size and type to function, as shown on Table 7–6.
</br>"
Special Weapons;SpecialWeapon;"Special weapons resist classification into any other category. 
</br>Some adventurers favor special weapons for the abilities they offer or for their unique beauty."
Ammunition and Grenades;;"Ammunition includes standard items (such as batteries that can replenish charged weapons), small arm and longarm rounds, and special units such as grenade arrows and missiles.
</br> Grenades are a special type of thrown weapon that can deal a variety of types of damage as well as create special hindering effects, as shown on Table 7–7.
</br>"
Solarian Weapon Crystals;SolarianWeaponCrystal;"A solarian weapon crystal adds damage to a solarian’s solar weapond 
</br>The solarian can place the crystal inside his mote as a standard actiond 
</br>While within a mote, a crystal applies its effects any time that mote is in a solar weapon formd 
</br>A crystal within a mote can’t be interacted with in any way other than via abilities that specifically target a moted 
</br>The solarian can remove the crystal from his mote as a standard action, and the crystal falls loose if the mote is deactivated in any wayd 
</br>A solarian can’t have more than one crystal in his mote at a given timed
</br>A solarian weapon crystal doesn’t give a solarian the option to create a solar weapon if he did not choose that option for his solar manifestationd 
</br>Most weapon crystals increase the amount of damage attacks with the solar weapon deald 
</br>This increased damage is normally the same type of damage the solarian weapon deals (typically bludgeoning, piercing, or slashing)d 
</br>If a solarian crystal’s damage entry lists an abbreviation after the damage, however, the additional damage the solar weapon deals is of the indicated typed 
</br>Even if a solarian weapon crystal’s extra damage is a type of energy damage, attacks with the solar weapon still target KAC, not EACd 
</br>If a solarian crystal lists a critical effect, that critical effect applies to any critical hit the solar weapon makes while the
solarian crystal is within the solarian’s moted

</br>For example, a solarian with a minor photon crystal and a base solar weapon damage of 2d6 deals 2d6 bludgeoning, piercing, or slashing damage, plus 1d6 fire damage, on a hit with his solar weapond
</br>A solarian weapon crystal is a hybrid item that blends magic and technologyd 
</br>When a weapon crystal is within a mote and the solarian uses the mote in solar weapon form, the solar weapon is considered magic for the purpose of overcoming damage reductiond 
</br><h6>Broken Solarian Crystals: </h6>
If a solarian weapon crystal with the broken condition is inside a solarian’s solar mote, the solarian takes a –2 penalty to attack and damage rolls with the solar weapon, and the solar weapon can’t deal extra critical effectsd 
</br>Both effects last until the crystal is repairedd 
</br>As hybrid items, solarian crystals can be repaired using the make whole or mending spells, or with the Engineering or Mysticism skills, as
described in the Skills chapterd

</br>"
